//X,Y,Z,intensity,ping_no
-254.93458557,108.13071442,-7.83724594,-510.000000,21.000000
-254.90451050,108.20445251,-7.81351376,-510.000000,21.000000
-254.87725830,108.27136230,-7.80603218,-510.000000,21.000000
-254.84761047,108.34404755,-7.78061295,-510.000000,21.000000
-254.82067871,108.41014862,-7.77157116,-510.000000,21.000000
-254.78906250,108.48759460,-7.72721100,-510.000000,21.000000
-254.76016235,108.55844116,-7.69924641,-510.000000,21.000000
-254.72920227,108.63424683,-7.65306664,-510.000000,21.000000
-254.70086670,108.70369720,-7.62340355,-510.000000,21.000000
-254.67808533,108.75968170,-7.62700462,-510.000000,21.000000
-254.65533447,108.81555939,-7.63004208,-510.000000,21.000000
-254.63264465,108.87133026,-7.63251781,-510.000000,21.000000
-254.61231995,108.92132568,-7.65177917,-510.000000,21.000000
-254.59025574,108.97554016,-7.65265179,-510.000000,21.000000
-254.57017517,109.02496338,-7.67070293,-510.000000,21.000000
-254.55032349,109.07379913,-7.68805408,-510.000000,21.000000
-254.53012085,109.12349701,-7.70522404,-510.000000,21.000000
-254.50811768,109.17756653,-7.70412350,-510.000000,21.000000
-254.48786926,109.22737885,-7.72036266,-510.000000,21.000000
-254.46591187,109.28128815,-7.71825695,-510.000000,21.000000
-254.44561768,109.33120728,-7.73356533,-510.000000,21.000000
-254.42219543,109.38865662,-7.71249866,-510.000000,21.000000
-254.40042114,109.44209290,-7.70885086,-510.000000,21.000000
-254.37728882,109.49881744,-7.68666840,-510.000000,21.000000
-254.35571289,109.55178833,-7.68197441,-510.000000,21.000000
-254.33450317,109.60386658,-7.67659283,-510.000000,21.000000
-254.31463623,109.65271759,-7.68883133,-510.000000,21.000000
-254.29502869,109.70093536,-7.70046616,-510.000000,21.000000
-254.27508545,109.74996948,-7.71184826,-510.000000,21.000000
-254.25430298,109.80098724,-7.70445251,-510.000000,21.000000
-254.23329163,109.85254669,-7.69674587,-510.000000,21.000000
-254.21266174,109.90317535,-7.68841743,-510.000000,21.000000
-254.19181824,109.95434570,-7.67976856,-510.000000,21.000000
-254.17253113,110.00174713,-7.68864536,-510.000000,21.000000
-254.15292358,110.04994965,-7.69724464,-510.000000,21.000000
-254.13359070,110.09748077,-7.70530319,-510.000000,21.000000
-254.11393738,110.14580536,-7.71306801,-510.000000,21.000000
-254.09358215,110.19573975,-7.70208454,-510.000000,21.000000
-254.07302856,110.24619293,-7.69075775,-510.000000,21.000000
-254.05284119,110.29568481,-7.67887783,-510.000000,21.000000
-254.03326416,110.34380341,-7.68491936,-510.000000,21.000000
-254.01322937,110.39298248,-7.67217159,-510.000000,21.000000
-253.99395752,110.44032288,-7.67729187,-510.000000,21.000000
-253.97404480,110.48917389,-7.66368961,-510.000000,21.000000
-253.95480347,110.53643799,-7.66798592,-510.000000,21.000000
-253.93585205,110.58300781,-7.67182064,-510.000000,21.000000
-253.91659546,110.63033295,-7.67531300,-510.000000,21.000000
-253.89762878,110.67695618,-7.67835522,-510.000000,21.000000
-253.87834167,110.72431946,-7.68104267,-510.000000,21.000000
-253.85905457,110.77170563,-7.68332386,-510.000000,21.000000
-253.83976746,110.81910706,-7.68519974,-510.000000,21.000000
-253.82046509,110.86652374,-7.68666935,-510.000000,21.000000
-253.80131531,110.91367340,-7.70611763,-510.000000,21.000000
-253.78195190,110.96123505,-7.70677662,-510.000000,21.000000
-253.76258850,111.00880432,-7.70702744,-510.000000,21.000000
-253.74320984,111.05637360,-7.70687103,-510.000000,21.000000
-253.72384644,111.10393524,-7.70630741,-510.000000,21.000000
-253.70460510,111.15109253,-7.68695259,-510.000000,21.000000
-253.68560791,111.19777679,-7.68560219,-510.000000,21.000000
-253.66630554,111.24517822,-7.68382740,-510.000000,21.000000
-253.64730835,111.29183197,-7.68168354,-510.000000,21.000000
-253.62800598,111.33920288,-7.67910290,-510.000000,21.000000
-253.60873413,111.38655090,-7.67611694,-510.000000,21.000000
-253.58944702,111.43387604,-7.67272568,-510.000000,21.000000
-253.57019043,111.48117828,-7.66892815,-510.000000,21.000000
-253.55064392,111.52917480,-7.66465855,-510.000000,21.000000
-253.53140259,111.57640839,-7.66004467,-510.000000,21.000000
-253.51187134,111.62433624,-7.65494633,-510.000000,21.000000
-253.49266052,111.67150116,-7.64951897,-510.000000,21.000000
-253.47396851,111.71732330,-7.62533379,-510.000000,21.000000
-253.45483398,111.76425934,-7.61911011,-510.000000,21.000000
-253.43544006,111.81187439,-7.61237907,-510.000000,21.000000
-253.41635132,111.85871124,-7.60534477,-510.000000,21.000000
-253.39700317,111.90621948,-7.59779263,-510.000000,21.000000
-253.37689209,111.95564270,-7.60811043,-510.000000,21.000000
-253.35641479,112.00599670,-7.61784935,-510.000000,21.000000
-253.33615112,112.05583954,-7.62726307,-510.000000,21.000000
-253.31643677,112.10422516,-7.61785221,-510.000000,21.000000
-253.29704285,112.15180969,-7.60816383,-510.000000,21.000000
-253.27737427,112.20005035,-7.59790516,-510.000000,21.000000
-253.25665283,112.25099182,-7.60538197,-510.000000,21.000000
-253.23699951,112.29920197,-7.59424782,-510.000000,21.000000
-253.21768188,112.34661102,-7.58286476,-510.000000,21.000000
-253.19808960,112.39464569,-7.57088757,-510.000000,21.000000
-253.17884827,112.44187927,-7.55867290,-510.000000,21.000000
-253.15571594,112.49880981,-7.58131790,-510.000000,21.000000
-253.13269043,112.55545807,-7.60357952,-510.000000,21.000000
-253.10919189,112.61327362,-7.62505150,-510.000000,21.000000
-253.08583069,112.67079926,-7.64614296,-510.000000,21.000000
-253.06575012,112.72002411,-7.63107586,-510.000000,21.000000
-253.04408264,112.77326965,-7.63342762,-510.000000,21.000000
-253.02404785,112.82239532,-7.61744308,-510.000000,21.000000
-253.00230408,112.87580109,-7.61880302,-510.000000,21.000000
-252.98202515,112.92552185,-7.60164738,-510.000000,21.000000
-252.95964050,112.98051453,-7.60148525,-510.000000,21.000000
-252.93719482,113.03563690,-7.60077286,-510.000000,21.000000
-252.91470337,113.09088898,-7.59950829,-510.000000,21.000000
-252.89418030,113.14117432,-7.58011723,-510.000000,21.000000
-252.87164307,113.19653320,-7.57778835,-510.000000,21.000000
-252.85119629,113.24664307,-7.55742264,-510.000000,21.000000
-252.82862854,113.30208588,-7.55402374,-510.000000,21.000000
